Alimento,Calorias,Hidratos,Proteinas,Grasas,Fibras
GUISANTES ENLATADOS,54,9,4,0,4,
GUISANTES FRESCOS,67,11,6,0,5,
HAMBURGUESA BURGER- KING,290,29,15,13,0,
HAMBURGUESAS VACUNO,265,5,15,20,0,
HARINA AVENA,401,73,12,9,7,
HARINA CENTENO,303,68,7,1,9,
HARINA MAIZ,354,92,0,1,0,
HARINA SOJA,447,24,37,24,12,
HARINA TRIGO INTEGRAL,318,66,13,2,10,
HARINA TRIGO PANIFICADA,337,75,11,1,3,
HELADO,209,21,4,12,0,
HELADO FRUTA,140,29,2,2,0,
HÍGADO CERDO,154,2,21,7,0,
HÍGADO POLLO,135,1,19,6,0,
HÍGADO TERNERA,153,2,20,7,0,
HIGOS SECOS,213,53,4,0,18,
HIGOS VERDES,41,10,1,0,2,
HUEVO,147,1,12,11,0,
HUEVO DURO,153,1,12,11,0,
HUEVO YEMA LIQUIDA,377,0,16,32,0,
JAMÓN COCIDO,352,1,22,29,0,
JAMÓN SERRANO,185,0,31,7,0,
JEREZ SECO,116,1,0,0,0,
JUDÍAS BLANCAS SECAS,271,46,21,2,25,
JUDÍAS-VERDES FRESCAS,7,5,2,0,2,
JUREL,127,1,16,7,0,
KETCHUP,98,24,2,0,0,
KIWI,52,11,1,1,4,
LANGOSTA COCIDA,119,0,22,3,0,
LECHE CABRA,66,5,3,4,0,
LECHE DESNATADA POLVO,374,53,35,1,0,
LECHE ENTERA POLVO,500,37,25,26,0,
LECHE DE MUJER,69,7,1,4,0,
LECHE DE VACA,36,5,4,0,0,
LECHE VACA ENTERA,60,5,3,3,0,
LECHE VACA ESTÉRIL,60,5,3,3,0,
LECHE VACA SEMIDESNATADA,49,5,3,2,0,
LECHE VACA U.H.T.,60,5,3,3,0,
LECHE CONDENSADA AZUCARADA,325,52,8,9,0,
LECHE CONDENSADA M.G. 7 50 %,137,10,6,8,0,
LECHUGA,12,1,1,0,2,
LENGUADO,81,0,17,1,0,
LENTEJAS,304,53,24,1,0, 
LEVADURA CERVEZA SECA,219,0,48,4,0,
LIMÓN,15,3,1,0,5,
LIMONADA ENVASADA,21,6,0,0,0,
LOMBARDA,21,4,2,0,2,
LOMO CERDO EMBUCHADO,386,0,50,21,0,
MACARRONES,370,79,14,2,3,
MAGDALENA,397,42,6,23,1,
MAÍZ DULCE MAZORCA,123,23,4,2,5,
MANDARINAS,34,8,1,0,2,
MANHATTAN COCKTAIL,164,8,0,0,0,
MANTECA CERDO,891,0,0,99,0,
MANTEQUILLA,740,0,0,82,0,
MANZANA,46,12,0,0,2,
MARGARINA INDUSTRIAL,746,0,0,80,0,
MARGARINA VEGETAL,746,0,0,80,0,
MARTINI,140,0,0,0,0,
MAYONESA,718,0,2,79,0,
MAZAPÁN,443,49,9,25,6,
MEJILLONES,66,0,12,2,0,
MELOCOTÓN,37,9,1,0,0, 
MELÓN,24,5,1,0,0, 
MEMBRILLO,236,59,0,0,0,
MERLUZA,46,11,0,0,10,
NUECES,525,5,11,52,5,
NUEZ BRASIL,617,4,12,62,9,
OSTRAS,70,5,9,1,0,
PALMITOS ENLATADOS,45,8,3,0,0,
PALOMA,106,0,22,2,0,
PALOMITAS MAIZ,54,11,2,1,0,
PAN BLANCO,233,50,8,2,3,
PAN CON CHOCOLATE,419,51,7,21,2,
PAN INTEGRAL,216,42,9,3,8,
PAN TOSTADO BLANCO,297,65,10,2,3,
PASTA,373,82,13,2,0,
PASTAS AL HUEVO,378,84,14,1,3,
PATATAS,533,49,6,36,12,
PATATAS,80,20,1,0,1,
PATATAS CRUDAS,87,21,2,0,2,
PATATAS FRITAS,253,37,4,11,0,
PATO,326,0,16,29,0,
PAVO,107,0,22,2,0,
PEPINO,10,2,1,0,0,
PERAS,41,11,0,0,2,
PERCEBES,59,0,14,0,0,
PERDIZ,106,0,23,2,0,
PEREJIL,21,0,5,0,9,
PERRITO-CALIENTE CON MOSTAZA,308,33,11,14,0,
PESCADILLA,92,0,21,0,0,
PETIT-SUISSE QUESO TIPO,173,4,8,14,0,
PICHÓN,182,0,21,10,0,
PIMIENTO,15,2,1,0,1,
PIPAS GIRASOL,597,14,22,50,5,
PISTACHOS,602,13,21,52,6,
PIZZA QUESO TOMATE,234,25,9,12,0,
PIÑA,46,12,0,0,1,
PIÑA EN ALMIBAR ,83,20,0,0,1,
PLÁTANO,79,19,1,0,3,
POLLO,121,0,20,4,0,
POLLO FRITO KENTUCKY,155,5,13,9,0,
POLLO PECHUGAS KENTUCKY,436,34,25,22,0,
POMELO,22,5,0,0,0, 
PUERRO,31,6,2,0,3,
PULPO,57,2,11,1,0,
QUESO AZUL,355,0,23,29,0,
QUESO TIPO BABIBEL,314,0,23,25,0,
QUESO BRIE,361,1,23,28,0,
QUESO BURGOS,167,3,11,11,0,
QUESO CABRA,250,2,17,18,0,
QUESO CAMEMBERT,300,0,23,23,0,
QUESO CHEDAR,406,0,26,34,0,
QUESO EMMENTAL,377,0,29,29,0,
QUESO GOUDA,346,0,25,27,0,
QUESO GRUYERE,406,0,26,34,0,
QUESO MOZZARELLA,236,0,20,16,0,
QUESO PARMESANO,408,0,35,30,0,
QUESO PIRINEOS,355,0,22,30,0,
QUESO PORCIONES,283,1,18,23,0,
QUESO QUARK,167,3,11,11,0,
QUESO ROQUEFORT,355,0,23,29,0,
QUESO BLANCO DESNATADO,68,3,10,2,0,
QUESO FRESCO MG. 20 %,79,4,8,3,0,
QUESO MANCHEGO CURADO,420,1,32,32,0,
QUESO MANCHEGO FRESCO,333,0,26,25,0,
QUESO MANCHEGO SEMICURADO,390,0,29,29,0,
QUICHE LORRAINE BACÓN-QUESO,391,21,15,28,0,
RÁBANO,15,3,1,0,0, 
RABO VACUNO,171,0,20,10,0,
RAVIOLIS TOMATE SALSA,106,13,5,4,0,
REFRESCO LIGTH,1,0,0,0,0,
REMOLACHA COCIDA,44,10,2,0,2,
REPOLLO,29,3,3,0,3,
REQUESÓN,102,0,12,5,0,
RIÑÓN CORDERO,90,0,16,3,0,
RIÑÓN VACUNO,86,0,16,3,0,
RODABALLO,102,1,16,4,0,
RON,222,0,0,0,0,
SAL,0,0,0,0,0,
SALAMI,491,2,19,45,0,
SALCHICHAS CERDO,367,10,11,32,0,
SALCHICHAS ENLATADAS,243,0,13,20,0,
SALCHICHAS FRANCFORT,274,3,10,25,0,
SALCHICHÓN,454,2,26,38,0,
SALMÓN,182,0,18,12,0,
SALMONETE,97,2,14,4,0,
SALSA BOLOÑESA,139,2,8,11,0,
SALSA KETCHUP,98,24,2,0,0,
SALSA QUESO,198,9,8,15,0,
SALVADO TRIGO,206,27,14,6,44,
SANDIA,37,8,1,0,0,
SANGRE VACUNO,81,0,18,1,0,
SARDINAS,135,0,19,5,0,
SARDINAS EN ACEITE,217,0,24,14,0,
SARDINAS CON TOMATE LATA,177,0,18,12,0,
SEPIA,79,0,16,1,0,
SÉSAMO,566,10,19,50,0,
SESOS CERDO,132,0,11,9,0,
SESOS CORDERO,110,0,10,8,0,
SESOS TERNERA,110,0,10,8,0,
SETAS BOLETUS EDULIS,16,0,3,0,7,
SETAS CANTHARELLUS,11,0,2,0,6,
SETAS COLMENILLA,9,0,2,0,7,
SEVEN-UP,144,36,0,0,0,
SIDRA,36,3,0,0,0,
SOJA BROTES,9,1,2,0,3,
SOPA DE CEBOLLA,54,2,2,4,0,
SOPA MINESTRONE,35,5,2,1,0,
SPEISEQUARK TIPO QUESO,101,3,10,5,0,
TAPIOCA,359,95,0,0,0,
TARTA MANZANA CASERA,282,43,2,12,0,
TE INFUSIÓN,0,0,0,0,0,
TOCINO,427,0,14,41,0,
TOMATE,14,3,0,0,2,
TOMATE FRITO,69,3,1,6,3,
TÓNICA AGUA,42,10,0,0,0,
TRUCHA,89,0,16,3,0,
TRUFAS,25,0,6,0,0,
TURRÓN MEDIA,470,57,10,24,7,
UVAS,61,16,0,0,0,
UVAS PASAS,243,63,2,0,6,
VERMOUTH SECO,118,6,0,0,0,
VIEIRAS,70,0,16,0,0,
VINAGRE DE VINO,4,1,0,0,0,
VINO BLANCO,75,3,0,0,0,
VINO OPORTO,157,12,0,0,0,
VINO ROSADO,71,2,0,0,0,
VINOTINTO,68,0,0,0,0,
WEETABIX CEREALES,340,70,11,3,13,
WHISKY,222,0,0,0,0,
WHOPPER HAMBURGUESA BURGER- KING,630,50,26,36,0,
WHOPPER QUESO BURGER- KING,740,52,32,45,0,
YEMA HUEVO LIQUIDA,377,0,16,32,0,
YOGUR DESNATADO,52,6,5,1,0,
YOGUR FRUTAS,102,19,4,2,0,
YOGUR LIQUIDO,78,11,3,2,0,
YOGUR CON NATA,60,4,4,4,0,
YOGUR NATURAL,75,6,5,4,0,
YOGUR SABORES,88,14,4,2,0,
YOGUR FRUTAS SEMIDESNATADO,95,18,5,1,0,
